What kind of emotions did the exhibit trigger in you?,"Is there an item or story from the exhibit that stayed with you? If so, why?",What is your key takeaway from this exhibition?,To what extent did the exhibition move you?
i experienced anger and helplessness,a story of a rescuer inspired me deeply,small acts of resistance can mean a lot,very moved
i a heavy sense of loss,the pile of glasses showed scale of loss in a haunting way,it's crucial educate future generations,somewhat moved
i experienced anger and helplessness,a diary entry reminded me of how ordinary these lives were,silence the face of injustice is dangerous,somewhat moved
i was overwhelmed with sorrow,a recorded story of a rescuer inspired me deeply,compassion can survive in the darkest times,somewhat moved
i felt sadness and grief,a recorded story of a rescuer inspired me deeply,history must be remembered to repetition,somewhat moved
i was drained but also enlightened,a survivor's testimony stuck with me because of the raw emotion in their voice,empathy is key to understanding and preventing hate,somewhat moved
i was overwhelmed with sorrow,a painting made by a child was especially heartbreaking,we must never forget,not at all
i was emotionally drained but also enlightened,a survivor's testimony stuck with me because of the raw emotion in their voice,history must be remembered to prevent repetition,somewhat moved
i was moved to tears,a painting made by a child was especially heartbreaking,we must never forget,somewhat moved
i felt a deep sense of empathy,a painting made by a was especially heartbreaking,history be remembered to prevent repetition,very moved
i felt sadness and grief,a story of a rescuer inspired me deeply,silence in the face of injustice dangerous,not at all
i was emotionally drained but also enlightened,the photo of the family before deportation made it all feel so real,compassion can survive even in the darkest times,deeply moved
i felt a sense of loss,the photo of the family before deportation made it feel so real,we must never forget,somewhat moved
i felt a mix of sadness and admiration for the survivors,a diary entry reminded me of how ordinary these lives were,we must never forget,deeply moved
i felt horror and disbelief,the striped uniforms were a stark reminder of dehumanization,silence the face of injustice is dangerous,somewhat moved
i felt a deep sense of empathy,a diary entry reminded me of how ordinary these lives were,we must never forget,deeply moved
i experienced anger and helplessness,the train car exhibit gave me chills thinking the journeys,i realized the importance of standing up others,deeply moved
i was overwhelmed with sorrow,the letter from a mother to her child was incredibly touching,i realized the importance of standing up for others,deeply moved
i was moved to tears,a recorded story of a rescuer me deeply,we must never forget,somewhat moved
i felt mix of sadness and admiration for the survivors,the from a mother to her child was incredibly touching,small acts of resistance can mean a lot,deeply moved
i was moved to tears,a made by a child was especially heartbreaking,silence in the face of injustice is dangerous,somewhat moved
i experienced anger and helplessness,the striped uniforms were a stark of dehumanization,silence in the face of injustice is dangerous,very moved
